 "players_name" , "team_name" ,
 "Zhu Zhengrong" , 上海上港 ,
 "Ayman Awwad Mahmoud Abu Fares" , "Shabab Al-Hussein" ,
 "Vitali Vladimirovich Zaytsev" , "SK "Blāzma"" ,
 "Amri Kiemba Ramadhan" , "Simba" ,
 "Maciej Bębenek" , "Sandecja Nowy Sącz" ,
 "Nils Petersen" , "Werder Bremen" ,
 "Alexandru Melenciuc" , "Sogdiana Jizzakh" ,
 "José Antonio Collado Herrera" , "Noja" ,
 "Manuel Castiñeiras Porto" , "Compostela" ,
 "Gonçalo Nunes Borges Ferreira Gomes Alves" , "Benfica" ,
 "Yu Tao" , "Shanghai Shenxin" ,
 "Yu Tao" , "Shànghǎi Shēnxīn" ,
 "Yu Tao" , 上海申鑫 ,
 "Kim Ju-Young" , "Shanghai SIPG" ,
 "Kim Ju-Young" , "Shànghǎi Shànggǎng" ,
 "Kim Ju-Young" , 上海上港 ,
 "Welker Marçal Almeida" , "Shanghai Shenxin" ,
 "Welker Marçal Almeida" , "Shànghǎi Shēnxīn" ,
 "Welker Marçal Almeida" , 上海申鑫 ,
 "Paulo Sérgio Rodrigues Teles" , "Compostela" ,
 "Łukasz Grzeszczyk" , "Sandecja Nowy Sącz" ,
 "Róbert Cicman" , "Sandecja Nowy Sącz" ,
 "Mendes Correia" , "Benfica" ,
 "Vítor Hugo Rosário" , "Benfica" ,
 "Marnon-Thomas Busch" , "Werder Bremen" ,
 "Jhonatan Mariano Bernardo" , "SHB-Đà Nẵng F.C." ,
 "Clemens Fritz" , "Werder Bremen" ,
 "Okeem Challenger" , "SAP F.C." ,
 "Glenn Tobias Hysén" , "Shanghai SIPG" ,
 "Glenn Tobias Hysén" , "Shànghǎi Shànggǎng" ,
 "Glenn Tobias Hysén" , 上海上港 ,
 "Abdichi-Moké Diarra" , "SO Cassis Carnoux" ,
 "Ludovic Joseph Obraniak" , "Werder Bremen" ,
 "Yasuaki Okamoto" , "Roasso Kumamoto" ,
 "Yasuaki Okamoto" , ロアッソ熊本 ,
 "Ahmed Saleh Odeh" , "Shabab Al-Hussein" ,
 "Wang Bo" , "Shanghai Shenxin" ,
 "Wang Bo" , "Shànghǎi Shēnxīn" ,
 "Wang Bo" , 上海申鑫 ,
 "Marcin Cabaj" , "Sandecja Nowy Sącz" ,
 "Rubén García Martínez" , "Noja" ,
 "Lim You-Hwan" , "Shanghai Shenxin" ,
 "Lim You-Hwan" , "Shànghǎi Shēnxīn" ,
 "Lim You-Hwan" , 上海申鑫 ,
 "Ryuichi Hirashige" , "Roasso Kumamoto" ,
 "Ryuichi Hirashige" , ロアッソ熊本 ,
 "Yutaro Hara" , "Roasso Kumamoto" ,
 "Yutaro Hara" , ロアッソ熊本 ,
 "Janek Sternberg" , "Werder Bremen" ,
 "Peter Petrán" , "Sandecja Nowy Sącz" ,
 "Emmanuel Arnold Okwi" , "Simba" ,
 "Franco Matías Di Santo" , "Werder Bremen" ,
 "Yohei Kurakawa" , "Roasso Kumamoto" ,
 "Yohei Kurakawa" , ロアッソ熊本 ,
 "Everton Ramos da Silva" , "Shanghai Shenxin" ,
 "Everton Ramos da Silva" , "Shànghǎi Shēnxīn" ,
 "Everton Ramos da Silva" , 上海申鑫 ,
 "Cai Huikang" , "Shanghai SIPG" ,
 "Cai Huikang" , "Shànghǎi Shànggǎng" ,
 "Cai Huikang" , 上海上港 ,
 "Xu Wen" , "Shanghai Shenxin" ,
 "Xu Wen" , "Shànghǎi Shēnxīn" ,
 "Xu Wen" , 上海申鑫 ,
 "Adrian Valentić" , "SHB-Đà Nẵng F.C." ,
 "Martin Kobylański" , "Werder Bremen" ,
 "Issei Takayanagi" , "Roasso Kumamoto" ,
 "Issei Takayanagi" , ロアッソ熊本 ,
 "Johnny Meg do Nascimento Osório" , "Shanghai Shenxin" ,
 "Johnny Meg do Nascimento Osório" , "Shànghǎi Shēnxīn" ,
 "Johnny Meg do Nascimento Osório" , 上海申鑫 ,
 "Liu Junnan" , "Shanghai Shenxin" ,
 "Liu Junnan" , "Shànghǎi Shēnxīn" ,
 "Liu Junnan" , 上海申鑫 ,
 "Euclides Gomes Vaz" , "Benfica" ,
 "Satoshi Tokiwa" , "Roasso Kumamoto" ,
 "Satoshi Tokiwa" , ロアッソ熊本 ,
 "Teran Williams" , "SAP F.C." ,
 "Raphael Wolf" , "Werder Bremen" ,
 "Yan Junling" , "Shanghai SIPG" ,
 "Yan Junling" , "Shànghǎi Shànggǎng" ,
 "Yan Junling" , 上海上港 ,
 "Daniel Chima Chuwku" , "Shanghai Shenxin" ,
 "Daniel Chima Chuwku" , "Shànghǎi Shēnxīn" ,
 "Daniel Chima Chuwku" , 上海申鑫 ,
 "Hou Junjie" , "Shanghai Shenxin" ,
 "Hou Junjie" , "Shànghǎi Shēnxīn" ,
 "Hou Junjie" , 上海申鑫 ,
 "Oliver Hüsing" , "Werder Bremen" ,
 "Abel Miguel Suárez Torres" , "Noja" ,
 "José Ignacio Bollaín Ochoa" , "Noja" ,
 "José Manuel Alcañiz Andreu" , "Compostela" ,
 "Melvyn Lorenzen" , "Werder Bremen" ,
 "Wu Yansheng" , "Shanghai Shenxin" ,
 "Wu Yansheng" , "Shànghǎi Shēnxīn" ,
 "Wu Yansheng" , 上海申鑫 ,
 "Hayato Nakama" , "Roasso Kumamoto" ,
 "Hayato Nakama" , ロアッソ熊本 ,
 "Odell Murray" , "SAP F.C." ,
 "Taku Ishihara" , "TSG Neustrelitz" ,
 "Ihor Olehovych Skoba" , "Stomil Olsztyn" ,
 "Choi Dong-Soo" , "Super Reds FC" ,
 "Thomas Emmanuel Ulimwengu" , "TP Mazembe" ,
 "Kazuma Kita" , "Thespakusatsu Gunma" ,
 "Kazuma Kita" , ザスパクサツ群馬 ,
 "Shingo Arizono" , "Thespakusatsu Gunma" ,
 "Shingo Arizono" , ザスパクサツ群馬 ,
 "Wu Pai-ho" , "Tatung F.C." ,
 "Wu Pai-ho" , 大同足球隊 ,
 "Ólafur Karl Finsen" , "Stjarnan" ,
 "Lys Gomis" , "Trapani" ,
 "David Enrique Allende Paez" , "Trasandino" ,
 "Ryo Kobayashi" , "Thespakusatsu Gunma" ,
 "Ryo Kobayashi" , ザスパクサツ群馬 ,
 "Wilfried Louisy-Daniel" , "US Orléans Loiret Football" ,
 "Hsu Jen-feng" , "Tatung F.C." ,
 "Hsu Jen-feng" , 大同足球隊 ,
 "Yohei Sakai" , "Thespakusatsu Gunma" ,
 "Yohei Sakai" , ザスパクサツ群馬 ,
 "Christian Terlizzi" , "Trapani" ,
 "Jean Francis Fabien Vorbe" , "Tempête FC" ,
 "Mahamat Saleh Habib" , "US Albi" ,
 "Frank Fernández Pardo" , "Trasandino" ,
 "Richard Kissi Boateng" , "TP Mazembe" ,
 "Yaw Frimpong" , "TP Mazembe" ,
 "Enis Nadarević" , "Trapani" ,
 "Flavien Belson Bengaber" , "Stade Bordelais" ,
 "Veigar Páll Gunnarsson" , "Stjarnan" ,
 "Tatsuki Kobayashi" , "Thespakusatsu Gunma" ,
 "Tatsuki Kobayashi" , ザスパクサツ群馬 ,
 "Leandro Aparecido Padilha de Oliveira" , "Thespakusatsu Gunma" ,
 "Leandro Aparecido Padilha de Oliveira" , ザスパクサツ群馬 ,
 "Bijaya Dhimal" , "Laxmi Bank Three Star" ,
 "Brian Michael Rowe" , "Ventura County Fusion" ,
 "Tatsushi Koyanagi" , "Thespakusatsu Gunma" ,
 "Tatsushi Koyanagi" , ザスパクサツ群馬 ,
 "Luca Pagliarulo" , "Trapani" ,
 "Hervé Bugnet" , "Stade Bordelais" ,
 "Komkrit Camsokchuerk" , "TTM FC" ,
 "Komkrit Camsokchuerk" , ยาสูบ เอฟซี ,
 "Camilo Ignacio Peña Díaz" , "Trasandino" ,
 "Wang Chih-sheng" , "Tatung F.C." ,
 "Wang Chih-sheng" , 大同足球隊 ,
 "Shohei Yokoyama" , "Thespakusatsu Gunma" ,
 "Shohei Yokoyama" , ザスパクサツ群馬 ,
 "Joël Kimwaki Mpela" , "TP Mazembe" ,
 "Ángel Ortega García" , "Alzira" ,
 "Naoya Shibamura" , "Stomil Olsztyn" ,
 "Charin Bood-Hard" , "TTM FC" ,
 "Charin Bood-Hard" , ยาสูบ เอฟซี ,
 "Matthew Wiet" , "Ventura County Fusion" ,
 "Bikash Singh Chhetri" , "Laxmi Bank Three Star" ,
 "Enrico Zampa" , "Trapani" ,
 "Edgar Antonio Cassiani Perez" , "UNDEBA" ,
 "Ivan Mirković" , "Ventura County Fusion" ,
 "Salif Coulibaly" , "TP Mazembe" ,
 "Emanuel Robert Maah" , "US Orléans Loiret Football" ,
 "Mbwana Aly Samatta" , "TP Mazembe" ,
 "Solomon Asante Wiafe" , "TP Mazembe" ,
 "Loïc Loval Landré" , "US Orléans Loiret Football" ,
 "Roger Claver Djapone Assalé" , "TP Mazembe" ,
 "Steven Robert Pelé" , "US Le Pontet" ,
 "Roman Ivanovych Machulenko" , "Stomil Olsztyn" ,
 "Mike Mutyaba" , "TP Mazembe" ,
 "Arkadiusz Czarnecki" , "Stomil Olsztyn" ,
 "Jimmy Cundasamy" , "US Stade Tamponnaise" ,
 "Cephas Malele" , "Trapani" ,
 "Gérard Georges Sylvain Roland" , "Stade Bordelais" ,
 "Łukasz Jamróz" , "Stomil Olsztyn" ,
 "Diego Andrés de Gregorio Contreras" , "Trasandino" ,
 "Irakli Heorhiyevych Meskhia" , "Stomil Olsztyn" ,
 "Valentin Yulianov Veselinov" , "A.O. Trikala" ,
 "Matheus Thiago de Carvalho" , "Valledupar Fútbol Club" ,
 "Michał Trzeciakiewicz" , "Stomil Olsztyn" ,
 "Michael Præst" , "Stjarnan" ,
 "Diego Agustín Calgaro" , "Sportivo Desamparados" ,
 "Jetsada Jitsawad" , "TTM FC" ,
 "Jetsada Jitsawad" , ยาสูบ เอฟซี ,
 "Emanuel Andrés Reynoso" , "Sportivo Desamparados" ,
 "Dillon Barna" , "Ventura County Fusion" ,
 "Olukorede Afolabi O. O. Aiyegbusi" , "VfB Auerbach" ,
 "Gabriel R. Gonzalez" , "Ventura County Fusion" ,
 "Jóhann Laxdal" , "Stjarnan" ,
 "Sam Nicholson" , "Ventura County Fusion" ,
 "Juan Pablo Arenas Núñez" , "Trasandino" ,
 "Yuki Matsushita" , "Thespakusatsu Gunma" ,
 "Yuki Matsushita" , ザスパクサツ群馬 ,
 "Ted Mondésir Lavie Mienandy" , "Stade Bordelais" ,
 "Kao Hao-chieh" , "Tatung F.C." ,
 "Kao Hao-chieh" , 大同足球隊 ,
 "Jonas Sakuwaha" , "TP Mazembe" ,
 "Kim Yoon-Sik" , "Super Reds FC" ,
 "Pablo Álvarez Núñez" , "Langreo" ,
 "Luigi Glombard" , "US Orléans Loiret Football" ,
 "Sandip Rai" , "Laxmi Bank Three Star" ,
 "David Hernán Drocco" , "Sportivo Desamparados" ,
 "Hörður Árnason" , "Stjarnan" ,
 "Volodymyr Viktorovych Koval" , "Stomil Olsztyn" ,
 "Biraj Maharjan" , "Laxmi Bank Three Star" ,
 "Park Chul-Hyung" , "Super Reds FC" ,
 "Yoo Hyun-Goo" , "Super Reds FC" ,
 "Bikram Lama" , "Laxmi Bank Three Star" ,
 "Jagajeet Shrestha" , "Laxmi Bank Three Star" ,
 "Andrew Patrick Rose" , "Ventura County Fusion" ,
 "Richard Gabriel Marcone" , "Trapani" ,
 "Loris Arnaud" , "US Orléans Loiret Football" ,
 "Vitaliy Oleksandrovych Berezovskyi" , "Stomil Olsztyn" ,
 "Chung Kuang-tien" , "Tatung F.C." ,
 "Chung Kuang-tien" , 大同足球隊 ,
 "Bruce Abdoulaye" , "US Orléans Loiret Football" ,
 "Ryota Aoki" , "Thespakusatsu Gunma" ,
 "Ryota Aoki" , ザスパクサツ群馬 ,
 "Vicente Flor Bustos" , "Alzira" ,
 "Charles Hérold Junior" , "Tempête FC" ,
 "Pavel Valeriev Vidanov" , "Trapani" ,
 "Robert Kidiaba Muteba" , "TP Mazembe" ,
 "Santosh Shahukhala" , "Laxmi Bank Three Star" ,
 "Kabaso Chongo" , "TP Mazembe" ,
 "Martin Zurawsky" , "VfB Auerbach" ,
 "Daichi Inui" , "Thespakusatsu Gunma" ,
 "Daichi Inui" , ザスパクサツ群馬 ,
 "Kiran Chemjong Limbu" , "Laxmi Bank Three Star" ,
 "Yasuhiro Kato" , "Stomil Olsztyn" ,
 "Saïd Aït-Bahi" , "USL Dunkerque" ,
 "Stefano Krasimirov Kunchev" , "A.O. Trikala" ,
 "Joseph Kamwendo" , "TP Mazembe" ,
 "Gladson Awako" , "TP Mazembe" ,
 "Mickaël Ravaux" , "Vesoul Haute-Saône" ,
 "Ryohei Yoshihama" , "Thespakusatsu Gunma" ,
 "Ryohei Yoshihama" , ザスパクサツ群馬 ,
 "Iván Otero Yugueros" , "Langreo" ,
 "Uilian Souza da Silva" , "TTM FC" ,
 "Uilian Souza da Silva" , ยาสูบ เอฟซี ,
 "Ryosuke Tada" , "Thespakusatsu Gunma" ,
 "Ryosuke Tada" , ザスパクサツ群馬 ,
 "Hwang Song-Su" , "Thespakusatsu Gunma" ,
 "Hwang Song-Su" , ザスパクサツ群馬 ,
 "Onur Dogan" , "Tatung F.C." ,
 "Onur Dogan" , 大同足球隊 ,
 "Juan Carlos Ortiz Padilla" , "Langreo" ,
 "Daniel Francisco Barrera" , "Ventura County Fusion" ,
 "Park Kang-Jin" , "Super Reds FC" ,
 "Tomasz Wełnicki" , "Stomil Olsztyn" ,
 "Kritsakorn Kerdpol" , "Air Force Central F.C." ,
 "Kritsakorn Kerdpol" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Sinan Philipp Tekerci" , "1" ,
 "Robert Böhme" , "ZFC Meuselwitz" ,
 "Attila Sánta" , "Budaörsi" ,
 "Michael Ryan McGlinchey" , "Wellington Phoenix" ,
 "Samuel Eboule Bille" , "Air Force Central F.C." ,
 "Samuel Eboule Bille" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Lázaro Luan Scapolan" , "Akhisar Belediyespor" ,
 "Martin Hudec" , "1" ,
 "Antonio-Mirko Čolak" , "1" ,
 "Déguy Alain Didier Zokora" , "Akhisar Belediyespor" ,
 "Gražvydas Mikulėnas" , "Wigry Suwałki" ,
 "Josh Brindell-South" , "Wellington Phoenix" ,
 "Vincent Lia" , "Wellington Phoenix" ,
 "An Jae-jun" , "Ansan Police" ,
 "An Jae-jun" , 안산 경찰청 ,
 "Kouassi Yao Herman" , "Air Force Central F.C." ,
 "Kouassi Yao Herman" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Martin Yves Angha-Lötscher" , "1" ,
 "Mele French" , "Pali Blues" ,
 "Mansoor Al-Najai" , "Al-Faisaly FC" ,
 "Viviana Schiavi" , "Pali Blues" ,
 "Sebastian Radzio" , "Wigry Suwałki" ,
 "İsmail Konuk" , "Akhisar Belediyespor" ,
 "André Ndamé Ndamé" , "Al-Faisaly FC" ,
 "Christos Palates" , "Akritas Chlorakas" ,
 "Sasha Andrews" , "Pali Blues" ,
 "Güray Vural" , "Akhisar Belediyespor" ,
 "Ahn Dong-eun" , "Ansan Police" ,
 "Ahn Dong-eun" , 안산 경찰청 ,
 "Kim Kyung-Choon" , "Busan Transportation Corporation" ,
 "Kim Kyung-Choon" , 부산교통공사 ,
 "Khalil Zaid Bani Attiah" , "Al-Faisaly FC" ,
 "Michael Joseph Boxall" , "Wellington Phoenix" ,
 "Alejandro Rodriguez Gorrin" , "Wellington Phoenix" ,
 "Custódio Miguel Dias de Castro" , "Akhisar Belediyespor" ,
 "Koray Arslan" , "Akhisar Belediyespor" ,
 "Yiğit İsmail Gökoğlan" , "Akhisar Belediyespor" ,
 "Yaw Amankwah Mireku" , "All Stars" ,
 "Yuji Funayama" , "Air Force Central F.C." ,
 "Yuji Funayama" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Jakub Kowalski" , "Wigry Suwałki" ,
 "Thomas Doyle" , "Wellington Phoenix" ,
 "Choi Young-Jun" , "Ansan Police" ,
 "Choi Young-Jun" , 안산 경찰청 ,
 "Emmanuel Muscat" , "Wellington Phoenix" ,
 "Hiroana Poroiae" , "AS Manu-Ura" ,
 "Rolieny Bonevacia" , "Wellington Phoenix" ,
 "Dusán Sžetzetižicž" , "Castiglione Calcio" ,
 "Glen Robert Moss" , "Wellington Phoenix" ,
 "Lee Jin-Hyung" , "Ansan Police" ,
 "Lee Jin-Hyung" , 안산 경찰청 ,
 "Seo Dong-Hyun" , "Ansan Police" ,
 "Seo Dong-Hyun" , 안산 경찰청 ,
 "Zeki Ayvaz" , "Akhisar Belediyespor" ,
 "Kassey Lee Kallman" , "Pali Blues" ,
 "Matúš Lacko" , "1" ,
 "Franklin William Vicente" , "Bangkok F.C.  บางกอก เอฟซี" ,
 "Kittisak Siriwan" , "Air Force Central F.C." ,
 "Kittisak Siriwan" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Han Hong-Kyu" , "Ansan Police" ,
 "Han Hong-Kyu" , 안산 경찰청 ,
 "Radomir Đalović" , "Bangkok F.C.  บางกอก เอฟซี" ,
 "Song Chang-Ho" , "Ansan Police" ,
 "Song Chang-Ho" , 안산 경찰청 ,
 "Yoon Jun-Ha" , "Ansan Police" ,
 "Yoon Jun-Ha" , 안산 경찰청 ,
 "Zsolt Bárányos" , "Budaörsi" ,
 "Nathan Joel Burns" , "Wellington Phoenix" ,
 "Lee Jae-Kwon" , "Ansan Police" ,
 "Lee Jae-Kwon" , 안산 경찰청 ,
 "Paul Pezos" , "West Adelaide SC" ,
 "Tomáš Okleštěk" , "1" ,
 "Ricardo Farinha Da Silva" , "West Adelaide SC" ,
 "Maciej Makuszewski" , "Wigry Suwałki" ,
 "Oğuz Dağlaroğlu" , "Akhisar Belediyespor" ,
 "Trésor Lomana LuaLua" , "Akhisar Belediyespor" ,
 "Tyler Dominic Boyd" , "Wellington Phoenix" ,
 "Alex Rufer" , "Wellington Phoenix" ,
 "Kim Byung-Suk" , "Ansan Police" ,
 "Kim Byung-Suk" , 안산 경찰청 ,
 "Yusuke Kato" , "BBCU" ,
 "Zoltán Jovánczai" , "Budaörsi" ,
 "Weerayut Jitkuntod" , "Air Force Central F.C." ,
 "Weerayut Jitkuntod" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Oh Won-Jong" , "Busan Transportation Corporation" ,
 "Oh Won-Jong" , 부산교통공사 ,
 "Luis Rodolfo Ojeda Alva" , "Atlético Minero" ,
 "Kittikun Jamsuwan" , "BBCU" ,
 "Jo Jae-Cheol" , "Ansan Police" ,
 "Jo Jae-Cheol" , 안산 경찰청 ,
 "Lee Yong-Seung" , "Busan Transportation Corporation" ,
 "Lee Yong-Seung" , 부산교통공사 ,
 "Roxanne Kimberly Barker" , "Pali Blues" ,
 "Thammawut Rungruang" , "Bangkok Christian College FC" ,
 "Andrew Durante" , "Wellington Phoenix" ,
 "Viliam Macko" , "Bangkok F.C.  บางกอก เอฟซี" ,
 "Sertan Vardar" , "Akhisar Belediyespor" ,
 "Hassan Ali Saad" , "Bangkok Christian College FC" ,
 "Mariano Nicolás González" , "Atlético Minero" ,
 "Sérgio Paulo Nascimento Filho" , "Atlético Cidade" ,
 "Marcin Tarnowski" , "Wigry Suwałki" ,
 "Lee Kang-Min" , "Busan Transportation Corporation" ,
 "Lee Kang-Min" , 부산교통공사 ,
 "Jonas Sakuwaha" , "Zesco United" ,
 "Attila Rajnay" , "Budaörsi" ,
 "Joshua Otoo Opoku" , "All Stars" ,
 "Jenna Carroll Richmond" , "Pali Blues" ,
 "Adam Hloušek" , "1" ,
 "Theofanis Gekas" , "Akhisar Belediyespor" ,
 "Douglas Foureira" , "Akhisar Belediyespor" ,
 "Park Jong-Jin" , "Ansan Police" ,
 "Park Jong-Jin" , 안산 경찰청 ,
 "David Calabar Owino Odhiambo" , "Zesco United" ,
 "Angelos Efthymiou" , "Akritas Chlorakas" ,
 "Benjamin Robert Sigmund" , "Wellington Phoenix" ,
 "Billy Mataitai" , "AS Manu-Ura" ,
 "Bruno Ferreira Mombra Rosa" , "Akhisar Belediyespor" ,
 "Albert Riera Vidal" , "Wellington Phoenix" ,
 "Shin Hyung-Min" , "Ansan Police" ,
 "Shin Hyung-Min" , 안산 경찰청 ,
 "Carsten Sträßer" , "ZFC Meuselwitz" ,
 "David Helísek" , "1" ,
 "Kang Jin-Kyu" , "Busan Transportation Corporation" ,
 "Robert Dabou" , "All Stars" ,
 "Park Hyun-Beom" , "Ansan Police" ,
 "Park Hyun-Beom" , 안산 경찰청 ,
 "Park Hee-Chul" , "Ansan Police" ,
 "Park Hee-Chul" , 안산 경찰청 ,
 "Kittisak Pinthong" , "BBCU" ,
 "Samuel Paul Cunningham" , "Air Force Central F.C." ,
 "Samuel Paul Cunningham" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Suppawat Srinothai" , "Air Force Central F.C." ,
 "Suppawat Srinothai" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Nelson David Becerra" , "Wigry Suwałki" ,
 "Bae Seung-Jin" , "Ansan Police" ,
 "Bae Seung-Jin" , 안산 경찰청 ,
 "Han Deok-Hee" , "Ansan Police" ,
 "Han Deok-Hee" , 안산 경찰청 ,
 "Jeong Hyuk" , "Ansan Police" ,
 "Jeong Hyuk" , 안산 경찰청 ,
 "Pavarit Sansook" , "BBCU" ,
 "Michael Oscislawski" , "VfB Hüls" ,
 "Ashraf Nu'man Al-Fawaghra" , "Al-Faisaly FC" ,
 "Markus Mendler" , "1" ,
 "Suguru Hashimoto" , "Bangkok F.C.  บางกอก เอฟซี" ,
 "Ricardo Jorge Vaz Tê" , "Akhisar Belediyespor" ,
 "Ko Kyung-Min" , "Ansan Police" ,
 "Ko Kyung-Min" , 안산 경찰청 ,
 "Louis Ferenc Puskas Fenton" , "Wellington Phoenix" ,
 "Mark Nerkowski" , "American Athletic Club Eagles." ,
 "Ashley Nick" , "Pali Blues" ,
 "Adam John Farley" , "AFC Liverpool" ,
 "Fahad Al-Munaif" , "Al-Faisaly FC" ,
 "Emrah Tuncel" , "Akhisar Belediyespor" ,
 "Phonlawut Donjui" , "Bangkok F.C.  บางกอก เอฟซี" ,
 "Kenny Martin Cunningham Brown" , "Wellington Phoenix" ,
 "Joshua Tijani" , "All Stars" ,
 "Netipong Sanmahung" , "Air Force Central F.C." ,
 "Netipong Sanmahung" , แอร์ฟอร์ซ เซ็นทรัล เอฟซี ,
 "Jackson Mwanza" , "Zesco United" ,
 "Jason Hicks" , "Wellington Phoenix" ,
 "Matthew George Robert Ridenton" , "Wellington Phoenix" ,
 "Jean-Yves Li Waut Ut" , "AS Manu-Ura" ,
 "Enrique Alejandro Esqueda Tirado" , "Pachuca" ,
 "Cho Won-Kwang" , "Cheonan City" ,
 "Cho Won-Kwang" , 천안시청 ,
 "El Mehdi Sidqy" , "Chiangmai FC" ,
 "El Mehdi Sidqy" , เชียงใหม่ เอฟซี ,
 "Fernando López Fernández" , "Coruxo" ,
 "Franco Rodrigo Fragapane" , "Elche Ilicitano" ,
 "Mateo Míguez Adán" , "Coruxo" ,
 "Christian Andrés Suárez Valencia" , "Pachuca" ,
 "Cristian Anderson Penilla Caicedo" , "Pachuca" ,
 "Sergio Javier Arias Delgado" , "Mérida" ,
 "Wutthipan Pantalee" , "Chiangmai FC" ,
 "Wutthipan Pantalee" , เชียงใหม่ เอฟซี ,
 "Thiago da Rosa Corrêa" , "São Luiz" ,
 "Osei Omari Kwende Sankofa" , "Charlton Athletic Academy" ,
 "Víctor Odín Patiño Bermúdez" , "Mérida" ,
 "Aquivaldo Mosquera Romaña" , "Pachuca" ,
 "Jesús Tamayo Tapia" , "Elche Ilicitano" ,
 "Thiago dos Santos Costa" , "São Luiz" ,
 "Elijah Ari" , "Energetic Dushanbe" ,
 "Rafael Gálvez Cerillo" , "Elche Ilicitano" ,
 "Alexander Michael Stavrinou" , "Charlton Athletic Academy" ,
 "Oscar Ignacio Carrasco Sotelo" , "Mérida" ,
 "Javier Moisés Hernández Posada" , "Pasaquina F.C." ,
 "José Samuel Martínez Lorente" , "Elche Ilicitano" ,
 "Daniel Arreola Argüello" , "Pachuca" ,
 "Harry Nicholas Arter" , "Charlton Athletic Academy" ,
 "Junior Nazareno Sornoza Moreira" , "Pachuca" ,
 "Guillermo Martínez Ayala" , "Pachuca" ,
 "Jamal Julian Campbell-Ryce" , "Charlton Athletic Academy" ,
 "Nathan Wesley Ashton" , "Charlton Athletic Academy" ,
 "Darío Cvitanich" , "Pachuca" ,
 "Alex Patricio Colón Rueda" , "Pachuca" ,
 "Joshua William Wright" , "Charlton Athletic Academy" ,
 "Rodolfo Damián Cota Robles" , "Pachuca" ,
 "Aldo Francisco Polo Ramirez" , "Mérida" ,
 "Germán Ezequiel Cano" , "Pachuca" ,
 "Callum Kyle Harriott" , "Charlton Athletic Academy" ,
 "Carl Daniel Jenkinson" , "Charlton Athletic Academy" ,
 "Christopher James Solly" , "Charlton Athletic Academy" ,
 "Harry George Lennon" , "Charlton Athletic Academy" ,
 "Joseph Dave Gomez" , "Charlton Athletic Academy" ,
 "Joseph David Wozencroft Pigott" , "Charlton Athletic Academy" ,
 "Jonjo Shelvey" , "Charlton Athletic Academy" ,
 "Jordan Paul Cousins" , "Charlton Athletic Academy" ,
 "Karlan Laughton Ahearne-Grant" , "Charlton Athletic Academy" ,
 "Lawrie Robert Wilson" , "Charlton Athletic Academy" ,
 "Morgan Alexander Fox" , "Charlton Athletic Academy" ,
 "Scott Andrew Wagstaff" , "Charlton Athletic Academy" ,
 "Diego Poyet González" , "Charlton Athletic Academy" ,
 "Darren Edward Randolph" , "Charlton Athletic Academy" ,
 "Rashid Olatokunbo Oladobe Alao Yussuff" , "Charlton Athletic Academy" ,
 "Óscar Pérez Rojas" , "Pachuca" ,
 "Julio Enrique Gómez González" , "Pachuca" ,
 "Walter Orlando Ayoví Corozo" , "Pachuca" ,
 "Jairo Joseth Jiménez Robles" , "Elche Ilicitano" ,
 "Alejandro Adrián Correa Rodríguez" , "São Luiz" ,
 "Fernando Salazar Lomelí" , "Mérida" ,
 "Édgar Melitón Hernández Cabrera" , "Pachuca" ,
 "Víctor Omar Mañón Barrón" , "Pachuca" ,
 "Tamer Hakan Tuna" , "Charlton Athletic Academy" ,
 "Nicolás Cháfer García" , "Elche Ilicitano" ,
 "Alfonso Blanco Antúnez" , "Pachuca" ,
 "Jonathan Jay Fortune" , "Charlton Athletic Academy" ,
 "Juan Alexander Campos Hernández" , "Pasaquina F.C." ,
 "Grant William Basey" , "Charlton Athletic Academy" ,
 "Yado Mambo" , "Charlton Athletic Academy" ,
 "Luciano González Groba" , "Coruxo" ,
 "Hirving Rodrigo Lozano Bahena" , "Pachuca" ,
 "Ariel Gerardo Nahuelpan Osten" , "Pachuca" ,
 "Eial Strahman" , "Mérida" ,
 "Robert Elliot" , "Charlton Athletic Academy" ,
 "Pedro Vázquez Viñas" , "Coruxo" ,
 "Michael Anaba" , "Elche Ilicitano" ,
 "Marlon Javier Ganchozo Santana" , "Patria" ,
 "Charles Lea MacDonald" , "Charlton Athletic Academy" ,
 "Benjamin Anthony Fisk Routledge" , "Coruxo" ,
 "Diego Eduardo de Buen Juárez" , "Pachuca" ,
 "Brayan Adán Martínez Arizpe" , "Mérida" ,
 "Lloyd Ekow Sam" , "Charlton Athletic Academy" ,
 "Adebayo Linford Kazim Azeez" , "Charlton Athletic Academy" ,
 "Mana Nopnech" , "Chiangmai FC" ,
 "Mana Nopnech" , เชียงใหม่ เอฟซี ,
 "Kang Jin-Kyu" , 부산교통공사 ,
 "Jürgen Damm Rascon" , "Pachuca" ,
