 "players_name" , "team_name" ,
 "Phan Văn Tài Em" , "ĐTLA" ,
 "Garry Bocaly" , "Arles-Avignon" ,
 "Dadi Sayi-Bok Mayuma" , "AFC Compiègne" ,
 "Stanislav Namaşco" , "AZAL PFK" ,
 "Kévin Jacmot" , "Saint-Priest" ,
 "Fahd Aodi" , "Al-Wathba Sports Club" ,
 "Rashed Al-Dwesan" , "Al-Shoulla" ,
 "Rashed Al-Dwesan" , نادي الشعلة السعودي ,
 "Antonio Lechuga Mateos" , "Xerez B" ,
 "Khaled Naseer" , "Al-Shoulla" ,
 "Khaled Naseer" , نادي الشعلة السعودي ,
 "Rami Abdel-Majeed Hassan Samara" , "Al-Ramtha SC" ,
 "Sultan Tamihi" , "Al-Shoulla" ,
 "Sultan Tamihi" , نادي الشعلة السعودي ,
 "Joaquín del Moral Sánchez" , "Xerez B" ,
 "Marcel Cardoso Ribeiro" , "Académico de Viseu" ,
 "Ayman Abdullah Ftayni Ali" , "Al-Khaleej Club" ,
 "José Pedro Ferradeira dos Santos" , "Académico de Viseu" ,
 "Orhan Ak" , "İstanbul Başakşehir" ,
 "Ammar Bilal" , "Al-Ansar" ,
 "Riku Olavi Riski" , "Rosenborg" ,
 "Alparslan Erdem" , "İstanbul Başakşehir" ,
 "Álvaro Mejía Pérez" , "Al-Shahania SC" ,
 "Tobias Pilegaard Mikkelsen" , "Rosenborg" ,
 "Rashad Gahraman oglu Abdullayev" , "AZAL PFK" ,
 "Alexandru Epureanu" , "İstanbul Başakşehir" ,
 "Ibrahima Ba" , "Arles-Avignon" ,
 "Volkan Babacan" , "İstanbul Başakşehir" ,
 "Jamie Paul Allen" , "A.F.C. Fylde" ,
 "Madson Formagini Caridade" , "Al-Khor SC" ,
 "Ben Hinchliffe" , "A.F.C. Fylde" ,
 "Luis Arcangel Ramos Colon" , "AZAL PFK" ,
 "Yordanos Getahun Abay" , "Al Saqr SC" ,
 "Eduardo da Conceição Maciel" , "AZAL PFK" ,
 "Phil Jackson Ibarguen Sanchez" , "Al-Khor SC" ,
 "Ali Jokar" , "Al-Shahania SC" ,
 "Serigne Abdou Thiam" , "Al-Khor SC" ,
 "Samuel Gigot" , "Arles-Avignon" ,
 "Madjid Bougherra" , "Fujairah SC" ,
 "Masoud Soleimani Shojaei" , "Al-Shahania SC" ,
 "Bojan Božović" , "Al-Shoulla" ,
 "Bojan Božović" , نادي الشعلة السعودي ,
 "Misfer Al-Bishi" , "Al-Shoulla" ,
 "Misfer Al-Bishi" , نادي الشعلة السعودي ,
 "Saeed Al-Harbi" , "Al-Shoulla" ,
 "Saeed Al-Harbi" , نادي الشعلة السعودي ,
 "Aurélien-Emmanuel Hérisson" , "AFC Compiègne" ,
 "Feras Emad Salem Saleh" , "Al-Ramtha SC" ,
 "Sultan Abdullah Al-Bargan" , "Al-Shoulla" ,
 "Sultan Abdullah Al-Bargan" , نادي الشعلة السعودي ,
 "John Enrique Córdoba Córdoba" , "AZAL PFK" ,
 "Mohammad Abdul-Samee' Al-Dmeiri" , "Al-Shamal SC" ,
 "Liam Richard Tomsett" , "A.F.C. Fylde" ,
 "Ihsan Nabil Farhan Haddad" , "Al-Ramtha SC" ,
